"dispatching_base_num","pickup_datetime","dropOff_datetime","PUlocationID","DOlocationID","SR_Flag","Affiliated_base_number"
"B01259",2020-04-24 08:20:17.000000,2020-04-24 08:26:59.000000,264,157,,"B01259"
"B00477",2020-04-25 17:56:07.000000,2020-04-25 17:56:23.000000,229,69,,"B00477"
"B01233",2020-04-16 12:50:20.000000,2020-04-16 12:57:51.000000,264,126,,"B01233"
"B02849",2020-04-22 12:06:04.000000,2020-04-22 12:09:17.000000,264,61,,"B02849"
"B02782",2020-04-13 09:10:00.000000,2020-04-13 09:22:00.000000,,,,"B02782"
"B00706",2020-04-09 15:37:17.000000,2020-04-09 15:44:09.000000,115,115,,"B00706"
"B01239",2020-04-27 10:10:08.000000,2020-04-27 10:15:51.000000,,81,,"B01285"
"B02550",2020-04-04 04:28:19.000000,2020-04-04 04:47:23.000000,,140,,"B02765"
"B01717",2020-04-08 06:56:44.000000,2020-04-08 07:05:22.000000,264,242,,"B01717"
"B00911",2020-04-15 05:58:17.000000,2020-04-15 06:09:22.000000,264,169,,"B00911"
"B01710",2020-04-21 08:50:25.000000,2020-04-21 09:06:06.000000,264,264,,"B01710"
"B01899",2020-04-29 07:41:32.000000,2020-04-29 07:58:39.000000,264,264,,"B01899"
"B01259",2020-04-05 09:29:19.000000,2020-04-05 09:32:21.000000,264,256,,"B01259"
"B03023",2020-04-10 17:03:01.000000,2020-04-10 17:03:07.000000,69,69,,"B03023"
"B03266",2020-04-24 20:19:09.000000,2020-04-24 21:09:48.000000,7,218,,"B03266"
"B01239",2020-04-18 19:01:33.000000,2020-04-18 19:33:22.000000,,159,,"B02879"
"B02550",2020-04-27 09:03:13.000000,2020-04-27 09:46:19.000000,,69,,"B02888"
"B00037",2020-04-02 08:48:33.000000,2020-04-02 08:50:38.000000,264,188,,"B02878"
"B01300",2020-04-10 21:26:04.000000,2020-04-10 21:29:08.000000,,254,,"B01300"
"B01315",2020-04-01 13:04:56.000000,2020-04-01 13:17:25.000000,264,248,,"B01315"
"B01913",2020-04-02 16:09:38.000000,2020-04-02 16:10:30.000000,264,262,,"B00111"
"B00256",2020-04-26 19:03:43.000000,2020-04-26 19:26:34.000000,264,264,,"B00256"
"B01312",2020-04-23 13:07:18.000000,2020-04-23 13:08:19.000000,264,217,,"B02764"
"B00222",2020-04-27 09:54:12.000000,2020-04-27 10:04:19.000000,,75,,"B00222"
"B03060",2020-04-29 20:46:03.000000,2020-04-29 21:03:11.000000,264,227,,"B02788"
"B02783",2020-04-20 08:07:03.000000,2020-04-20 08:33:18.000000,264,75,,"B02783"
"B03016",2020-04-15 09:52:36.000000,2020-04-15 09:58:55.000000,,3,,"B03016"
"B02762",2020-04-12 22:49:00.000000,2020-04-12 23:15:00.000000,264,264,,"B02762"
"B01726",2020-04-04 22:59:52.000000,2020-04-04 23:11:20.000000,,235,,"B01726"
"B01231",2020-04-28 17:27:35.000000,2020-04-28 17:45:37.000000,264,137,,"B02899"
"B01282",2020-04-28 18:21:00.000000,2020-04-28 18:33:54.000000,,76,,"B02788"
"B01536",2020-04-18 08:24:49.000000,2020-04-18 08:37:23.000000,264,74,,"B01536"
"B00227",2020-04-17 06:15:00.000000,2020-04-17 07:28:00.000000,264,264,,"B00227"
"B02546",2020-04-01 13:06:54.000000,2020-04-01 14:43:42.000000,264,244,,"B02546"
"B00457",2020-04-04 07:32:56.000000,2020-04-04 07:36:13.000000,,248,,"B00457"
"B02563",2020-04-30 08:40:36.000000,2020-04-30 08:44:19.000000,264,198,,"B02563"
"B00948",2020-04-15 11:49:00.000000,2020-04-15 12:17:29.000000,264,61,,"B00948"
"B01239",2020-04-22 19:21:17.000000,2020-04-22 19:27:32.000000,,254,,"B02882"
"B02715",2020-04-09 12:54:28.000000,2020-04-09 13:16:09.000000,79,41,,"B02875"
"B01145",2020-04-25 04:29:43.000000,2020-04-25 05:46:19.000000,264,147,,"B02870"
"B02550",2020-04-14 22:30:36.000000,2020-04-14 22:46:10.000000,,265,,"B02869"
"B01233",2020-04-24 22:10:22.000000,2020-04-24 22:15:20.000000,264,182,,"B01233"
"B02794",2020-04-02 12:28:09.000000,2020-04-02 12:44:09.000000,264,72,,"B02882"
"B02849",2020-04-30 07:47:04.000000,2020-04-30 08:04:29.000000,264,63,,"B02849"
"B03016",2020-04-10 13:12:00.000000,2020-04-10 13:15:58.000000,,259,,"B01285"
"B00821",2020-04-22 06:02:23.000000,2020-04-22 06:05:08.000000,264,63,,"B02867"
"B02537",2020-04-28 10:16:07.000000,2020-04-28 10:18:12.000000,,241,,"B02537"
"B02379",2020-04-01 11:24:14.000000,2020-04-01 11:32:29.000000,74,47,,"B02379"
"B00037",2020-04-17 09:00:02.000000,2020-04-17 09:08:15.000000,264,71,,"B02871"
