"VendorID","lpep_pickup_datetime","lpep_dropoff_datetime","store_and_fwd_flag","RatecodeID","PULocationID","DOLocationID","passenger_count","trip_distance","fare_amount","extra","mta_tax","tip_amount","tolls_amount","ehail_fee","improvement_surcharge","total_amount","payment_type","trip_type","congestion_surcharge"
2,2020-04-22 16:17:09.000000,2020-04-22 16:23:34.000000,"N",1,247,119,2,0.64,6,1,0.5,1.56,0,,0.3,9.36,1,1,0
2,2020-04-27 16:16:00.000000,2020-04-27 16:47:00.000000,,,197,55,,18.03,41.02,0,0,2.75,0,,0.3,44.07,,,
1,2020-04-15 23:20:53.000000,2020-04-15 23:54:33.000000,"N",1,102,210,1,0,37.2,0,0.5,0,0,,0.3,38,1,1,0
2,2020-04-23 09:30:38.000000,2020-04-23 09:49:34.000000,"N",5,116,236,1,5.12,20,0,0,0,0,,0.3,23.05,2,2,2.75
2,2020-04-27 17:00:01.000000,2020-04-27 17:21:40.000000,"N",5,188,228,1,4.17,17.62,0,0,3.58,0,,0.3,21.5,1,1,0
2,2020-04-23 12:57:56.000000,2020-04-23 13:03:59.000000,"N",5,244,119,1,1.2,8,0,0,0,0,,0.3,8.3,2,1,0
1,2020-04-18 18:56:48.000000,2020-04-18 19:07:15.000000,"N",1,74,238,1,2.7,10.5,2.75,0.5,1.5,0,,0.3,15.55,1,1,2.75
2,2020-04-08 13:16:10.000000,2020-04-08 13:17:40.000000,"N",1,244,116,1,0.39,3.5,0,0.5,0,0,,0.3,4.3,2,1,0
1,2020-04-24 08:32:57.000000,2020-04-24 08:41:56.000000,"N",1,74,166,1,1.9,9,0,0.5,1.95,0,,0.3,11.75,1,1,0
2,2020-04-15 10:22:35.000000,2020-04-15 10:26:41.000000,"N",1,41,74,1,0.7,5,0,0.5,0,0,,0.3,5.8,2,1,0
2,2020-04-09 10:15:00.000000,2020-04-09 10:30:00.000000,,,174,183,,4.97,16.01,0,0,2.75,0,,0.3,19.06,,,
2,2020-04-10 14:30:14.000000,2020-04-10 14:33:26.000000,"N",1,97,65,1,0.46,4,0,0.5,0,0,,0.3,4.8,2,1,0
2,2020-04-14 09:28:31.000000,2020-04-14 09:38:19.000000,"N",1,74,236,1,2.52,10,0,0.5,1,0,,0.3,14.55,1,1,2.75
1,2020-04-27 12:29:32.000000,2020-04-27 12:44:53.000000,"N",1,41,126,2,4.3,15,0,0.5,1,0,,0.3,16.8,1,1,0
2,2020-04-28 18:45:06.000000,2020-04-28 19:09:50.000000,"N",1,75,66,1,11.55,33,1,0.5,1,0,,0.3,35.8,1,1,0
2,2020-04-25 17:59:10.000000,2020-04-25 18:10:50.000000,"N",1,42,75,1,2.06,10,0,0.5,0,0,,0.3,10.8,1,1,0
1,2020-04-28 15:23:24.000000,2020-04-28 15:31:01.000000,"N",1,127,243,1,1.2,7,0,0.5,0,0,,0.3,7.8,2,1,0
2,2020-04-24 07:14:51.000000,2020-04-24 08:00:35.000000,"N",1,254,227,1,26.89,72,0,0.5,2.75,0,,0.3,75.55,1,1,0
2,2020-04-30 18:46:04.000000,2020-04-30 18:53:07.000000,"N",1,97,181,1,1.22,6.5,1,0.5,0,0,,0.3,8.3,2,1,0
2,2020-04-25 19:26:25.000000,2020-04-25 19:39:25.000000,"N",1,33,137,1,6.11,19.5,0,0.5,0,0,,0.3,23.05,2,1,2.75
2,2020-04-24 18:01:53.000000,2020-04-24 18:09:37.000000,"N",1,52,97,1,0.99,6.5,1,0.5,2.08,0,,0.3,10.38,1,1,0
2,2020-04-15 15:31:36.000000,2020-04-15 15:37:13.000000,"N",1,7,179,1,1.18,6,0,0.5,2.04,0,,0.3,8.84,1,1,0
1,2020-04-25 08:26:07.000000,2020-04-25 08:44:22.000000,"N",1,76,225,1,0,20.2,0,0.5,0,0,,0.3,21,1,1,0
2,2020-04-03 23:16:21.000000,2020-04-03 23:48:48.000000,"N",1,244,49,2,15.24,44.5,0.5,0.5,0,0,,0.3,48.55,2,1,2.75
2,2020-04-09 17:16:51.000000,2020-04-09 17:26:11.000000,"N",1,74,166,1,1.79,8.5,1,0.5,2.06,0,,0.3,12.36,1,1,0
2,2020-04-06 12:12:50.000000,2020-04-06 12:19:50.000000,"N",1,244,243,3,1.21,7,0,0.5,1.56,0,,0.3,9.36,1,1,0
2,2020-04-30 13:52:00.000000,2020-04-30 14:18:00.000000,,,127,161,,9.82,24.12,0,0,2.75,0,,0.3,27.17,,,
2,2020-04-21 08:25:01.000000,2020-04-21 08:31:55.000000,"N",1,74,41,1,0.84,6.5,0,0.5,0,0,,0.3,7.3,2,1,0
2,2020-04-18 11:43:38.000000,2020-04-18 11:52:51.000000,"N",1,116,166,1,1.69,8.5,0,0.5,1.86,0,,0.3,13.11,1,1,0
2,2020-04-13 10:17:48.000000,2020-04-13 10:25:42.000000,"N",1,74,41,1,1.33,7.5,0,0.5,0,0,,0.3,8.3,2,1,0
2,2020-04-02 07:39:44.000000,2020-04-02 07:45:24.000000,"N",5,95,95,1,1.7,16,0,0,0.02,0,,0.3,16.32,1,2,0
