"VendorID","tpep_pickup_datetime","tpep_dropoff_datetime","passenger_count","trip_distance","RatecodeID","store_and_fwd_flag","PULocationID","DOLocationID","payment_type","fare_amount","extra","mta_tax","tip_amount","tolls_amount","improvement_surcharge","total_amount","congestion_surcharge","airport_fee"
1,2020-04-25 14:25:29.000000,2020-04-25 14:33:08.000000,1,1.1,1,"N",237,142,1,7,2.5,0.5,1,0,0.3,11.3,2.5,
1,2020-04-27 16:20:26.000000,2020-04-27 16:23:56.000000,1,0.8,1,"N",164,68,2,5,3.5,0.5,0,0,0.3,9.3,2.5,
1,2020-04-17 01:02:34.000000,2020-04-17 01:06:01.000000,1,0.9,1,"N",230,186,2,5,3,0.5,0,0,0.3,8.8,2.5,
1,2020-04-23 15:43:21.000000,2020-04-23 15:43:54.000000,1,0.2,1,"N",229,229,2,3,2.5,0.5,0,0,0.3,6.3,2.5,
1,2020-04-13 16:13:35.000000,2020-04-13 16:16:56.000000,1,0.5,1,"N",140,141,1,4.5,3.5,0.5,1.75,0,0.3,10.55,2.5,
2,2020-04-09 20:56:04.000000,2020-04-09 21:10:14.000000,1,5.55,1,"N",137,41,1,18,0.5,0.5,2,0,0.3,23.8,2.5,
2,2020-04-29 08:15:51.000000,2020-04-29 08:24:54.000000,1,1.72,1,"N",186,113,2,8.5,0,0.5,0,0,0.3,11.8,2.5,
2,2020-04-04 00:22:17.000000,2020-04-04 00:53:41.000000,1,17.79,4,"N",132,265,1,74.5,0.5,0.5,15,0,0.3,90.8,0,
1,2020-04-08 09:40:15.000000,2020-04-08 09:41:19.000000,1,0.4,1,"N",75,263,2,3.5,0,0.5,0,0,0.3,4.3,0,
1,2020-04-15 13:50:08.000000,2020-04-15 14:13:06.000000,1,4.9,1,"N",249,151,2,19.5,2.5,0.5,0,0,0.3,22.8,2.5,
1,2020-04-22 08:57:27.000000,2020-04-22 09:10:26.000000,1,5.4,1,"N",75,244,2,17,0,0.5,0,0,0.3,17.8,0,
2,2020-04-02 16:51:00.000000,2020-04-02 17:04:00.000000,,1.5,,,41,74,0,8,0,0.5,0,0,0.3,8.8,,
1,2020-04-05 10:44:08.000000,2020-04-05 11:00:39.000000,1,4.5,1,"N",239,79,2,16,2.5,0.5,0,0,0.3,19.3,2.5,
2,2020-04-10 23:14:30.000000,2020-04-10 23:14:33.000000,1,0.02,5,"N",61,264,1,15,0,0.5,0,0,0.3,15.8,0,
2,2020-04-26 19:05:21.000000,2020-04-26 19:20:00.000000,1,4.79,1,"N",137,179,1,16,0,0.5,3.86,0,0.3,23.16,2.5,
2,2020-04-19 20:58:52.000000,2020-04-19 21:21:40.000000,1,7.22,1,"N",144,179,2,23,0.5,0.5,0,0,0.3,26.8,2.5,
2,2020-04-29 00:04:55.000000,2020-04-29 00:07:55.000000,1,1.33,1,"N",74,75,2,5.5,0.5,0.5,0,0,0.3,6.8,0,
2,2020-04-02 08:34:03.000000,2020-04-02 08:40:15.000000,1,1.05,1,"N",75,75,2,6,0,0.5,0,0,0.3,6.8,0,
2,2020-04-11 09:05:41.000000,2020-04-11 09:15:46.000000,1,2.59,1,"N",239,41,1,10.5,0,0.5,1,0,0.3,14.8,2.5,
2,2020-04-01 14:29:55.000000,2020-04-01 14:40:52.000000,1,1.74,1,"N",50,164,2,9.5,0,0.5,0,0,0.3,12.8,2.5,
1,2020-04-02 17:24:09.000000,2020-04-02 17:24:14.000000,0,0,2,"N",186,186,3,52,7,0.5,0,0,0.3,59.8,2.5,
1,2020-04-28 13:41:41.000000,2020-04-28 13:53:09.000000,1,2,1,"N",238,152,2,10,2.5,0.5,0,0,0.3,13.3,2.5,
1,2020-04-24 17:09:53.000000,2020-04-24 17:13:57.000000,0,0.6,1,"N",151,238,1,5,3.5,0.5,1.85,0,0.3,11.15,2.5,
1,2020-04-28 21:01:48.000000,2020-04-28 21:05:17.000000,1,0.4,1,"N",141,237,1,4.5,3,0.5,3.8,0,0.3,12.1,2.5,
2,2020-04-16 21:37:22.000000,2020-04-16 21:51:06.000000,,6.29,,,127,75,0,19.8,0,0,2.75,0,0.3,22.85,,
2,2020-04-21 03:53:13.000000,2020-04-21 04:04:13.000000,3,3.49,1,"N",262,137,1,12,0.5,0.5,3.16,0,0.3,20.91,2.5,
2,2020-04-13 17:00:56.000000,2020-04-13 17:19:51.000000,1,7.79,1,"N",114,152,2,23,1,0.5,0,0,0.3,27.3,2.5,
2,2020-04-13 09:33:54.000000,2020-04-13 09:37:53.000000,1,0.64,1,"N",87,261,1,4.5,0,0.5,1.56,0,0.3,9.36,2.5,
2,2020-04-04 21:46:24.000000,2020-04-04 21:50:55.000000,1,1.33,1,"N",186,50,2,6,0.5,0.5,0,0,0.3,9.8,2.5,
2,2020-04-30 15:05:24.000000,2020-04-30 15:17:40.000000,1,2.59,1,"N",237,238,1,11,0,0.5,3.58,0,0.3,17.88,2.5,
1,2020-04-30 17:01:28.000000,2020-04-30 17:07:34.000000,2,0.8,1,"N",41,41,1,6,1,0.5,1.55,0,0.3,9.35,0,
2,2020-04-19 08:13:40.000000,2020-04-19 08:21:07.000000,6,1.92,1,"N",100,229,1,8.5,0,0.5,2.36,0,0.3,14.16,2.5,
