file_name,file_s3_url,file_cloudfront_url,file_record_type,file_year,file_month,file_modification_time,file_num_rows,file_num_columns,file_column_names,file_size_bytes,file_size_mbs,file_size_gbs,file_metadata_source
fhvhv_tripdata_2022-01.parquet,s3://nyc-tlc/trip data/fhvhv_tripdata_2022-01.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2022-01.parquet,fhvhv,2022,1,2022-06-30 03:16:23+00:00,14751591,24,"hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag",374619188,357.26469802856445,0.34889130666852,web
fhvhv_tripdata_2022-02.parquet,s3://nyc-tlc/trip data/fhvhv_tripdata_2022-02.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2022-02.parquet,fhvhv,2022,2,2022-06-30 03:16:23+00:00,16019283,24,"hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag",407154284,388.2925834655762,0.37919197604060173,web
fhvhv_tripdata_2022-03.parquet,s3://nyc-tlc/trip data/fhvhv_tripdata_2022-03.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2022-03.parquet,fhvhv,2022,3,2022-06-30 03:16:23+00:00,18453548,24,"hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag",471233716,449.40349197387695,0.4388705976307392,web
fhvhv_tripdata_2022-04.parquet,s3://nyc-tlc/trip data/fhvhv_tripdata_2022-04.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2022-04.parquet,fhvhv,2022,4,2022-08-30 16:01:40+00:00,17752561,24,"hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag",455549033,434.4454126358032,0.4242630982771516,web
fhvhv_tripdata_2022-05.parquet,s3://nyc-tlc/trip data/fhvhv_tripdata_2022-05.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2022-05.parquet,fhvhv,2022,5,2022-08-30 16:01:40+00:00,18157335,24,"hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag",468565693,446.8590669631958,0.4363858075812459,web
fhvhv_tripdata_2022-06.parquet,s3://nyc-tlc/trip data/fhvhv_tripdata_2022-06.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2022-06.parquet,fhvhv,2022,6,2022-08-30 16:01:40+00:00,17780075,24,"hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag",458193119,436.96700954437256,0.4267255952581763,web
fhvhv_tripdata_2022-07.parquet,s3://nyc-tlc/trip data/fhvhv_tripdata_2022-07.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2022-07.parquet,fhvhv,2022,7,2022-11-14 13:55:37+00:00,17464619,24,"hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag",443730405,423.17429065704346,0.413256143219769,web
fhvhv_tripdata_2022-08.parquet,s3://nyc-tlc/trip data/fhvhv_tripdata_2022-08.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2022-08.parquet,fhvhv,2022,8,2022-11-14 13:55:37+00:00,17185687,24,"hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag",436536084,416.3132514953613,0.4065559096634388,web
fhvhv_tripdata_2022-09.parquet,s3://nyc-tlc/trip data/fhvhv_tripdata_2022-09.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2022-09.parquet,fhvhv,2022,9,2022-11-30 20:24:30+00:00,17793551,24,"hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag",458009813,436.7921953201294,0.42655487824231386,web
fhvhv_tripdata_2022-10.parquet,s3://nyc-tlc/trip data/fhvhv_tripdata_2022-10.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2022-10.parquet,fhvhv,2022,10,2022-12-19 21:59:12+00:00,19306090,24,"hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag",495083481,472.14840030670166,0.46108242217451334,web
fhvhv_tripdata_2022-11.parquet,s3://nyc-tlc/trip data/fhvhv_tripdata_2022-11.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2022-11.parquet,fhvhv,2022,11,2023-01-25 16:46:43+00:00,18085896,24,"hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag",464298215,442.7892827987671,0.432411408983171,web
fhvhv_tripdata_2022-12.parquet,s3://nyc-tlc/trip data/fhvhv_tripdata_2022-12.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2022-12.parquet,fhvhv,2022,12,2023-03-20 20:46:51+00:00,19665847,24,"hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag",503674188,480.34113693237305,0.46908314153552055,web
